,Quant,GraduationYear,experince,12percentage,10percentage,Salary
1862,680,2013,1,86.0,84.0,335000
1805,455,2012,0,59.0,62.0,180000
2695,530,2012,0,76.44,74.0,305000
1130,445,2012,0,87.5,86.5,355000
945,510,2014,1,60.0,60.14,275000
163,620,2013,1,94.3,90.6,300000
1660,655,2013,1,72.0,85.0,220000
1690,470,2013,1,63.83,80.0,360000
2384,590,2013,1,68.8,71.4,170000
2107,515,2011,0,60.2,75.2,325000
2895,445,2011,0,62.0,68.0,325000
1514,380,2014,1,80.0,67.0,100000
449,545,2012,0,81.0,81.0,475000
941,515,2014,1,85.0,85.0,315000
2867,365,2012,0,72.0,82.0,120000
1532,545,2014,1,66.6,73.8,240000
1847,605,2013,1,66.2,65.17,95000
437,375,2010,0,40.0,74.0,300000
1314,535,2014,1,93.6,69.0,325000
786,365,2014,1,56.0,65.0,180000
873,280,2013,1,62.0,70.0,180000
739,680,2013,1,80.0,87.6,440000
1006,425,2012,0,92.67,83.82,400000
1844,560,2014,1,84.0,84.0,320000
586,595,2014,1,68.5,78.0,300000
1306,340,2013,1,56.12,78.13,70000
348,440,2014,1,70.1,85.8,220000
2471,370,2013,1,82.8,73.4,85000
1028,415,2014,1,61.8,88.4,325000
1163,435,2015,1,69.5,74.67,150000
2511,795,2013,1,72.8,86.0,325000
2899,370,2013,1,65.5,67.23,100000
1541,405,2011,0,74.0,44.0,150000
573,620,2013,1,95.0,89.0,300000
647,650,2013,1,85.8,86.0,340000
595,464,2012,0,91.0,91.0,400000
1251,630,2014,1,84.0,75.6,325000
1558,445,2013,1,91.0,86.0,320000
1308,565,2010,0,66.0,65.2,200000
470,375,2010,0,61.0,66.66,300000
800,370,2014,1,64.0,54.0,110000
281,625,2010,0,95.0,72.3,400000
932,445,2012,0,74.2,71.0,180000
732,765,2012,0,76.8,88.8,360000
2727,630,2013,1,75.85,81.25,340000
1144,690,2013,1,73.8,62.0,280000
1617,605,2014,1,81.0,83.3,320000
2675,425,2011,0,71.83,84.0,410000
2503,295,2013,1,79.9,87.0,175000
584,515,2012,0,71.08,79.5,210000
2195,535,2012,0,62.2,77.0,120000
160,505,2012,0,74.6,79.0,280000
1111,370,2013,1,67.4,71.1,145000
1915,650,2014,1,69.8,82.2,240000
859,645,2013,1,78.0,79.6,145000
952,795,2013,1,85.0,81.0,350000
2735,470,2013,1,71.66,65.66,180000
1331,430,2014,1,66.77,76.5,100000
1219,575,2014,1,85.0,74.0,330000
1215,465,2014,1,64.5,68.5,305000
2676,535,2011,0,61.0,53.0,340000
606,345,2014,1,75.0,56.0,240000
164,680,2014,1,90.2,91.6,450000
2154,415,2013,1,84.8,85.0,155000
1040,635,2012,0,95.0,89.0,200000
1978,595,2011,0,82.8,90.6,690000
2665,315,2010,0,74.5,79.8,120000
2870,605,2013,1,61.0,62.0,460000
329,475,2013,1,81.0,82.0,180000
2011,545,2014,1,65.0,70.0,325000
2528,620,2013,1,86.6,87.4,175000
2546,515,2011,0,81.0,67.0,360000
2889,675,2013,1,91.2,88.6,395000
1429,495,2015,1,62.8,72.0,245000
2908,515,2010,0,73.4,83.43,715000
2141,545,2012,0,61.0,76.7,800000
809,575,2011,0,73.0,80.2,470000
433,615,2012,0,72.4,82.4,400000
1107,450,2013,1,63.0,76.0,140000
2091,705,2013,1,69.0,71.6,400000
860,310,2013,1,94.0,74.0,200000
274,620,2014,1,72.8,76.6,325000
967,505,2010,0,59.4,72.0,360000
2960,655,2012,0,68.6,67.2,420000
2139,545,2013,1,88.6,89.5,240000
1346,315,2014,1,63.0,67.0,120000
885,665,2011,0,65.6,76.6,190000
556,355,2012,0,54.08,56.16,200000
908,445,2012,0,94.2,83.5,425000
1381,510,2013,1,92.2,83.33,180000
2117,390,2014,1,50.4,79.6,180000
2562,435,2010,0,75.0,71.0,560000
509,810,2013,1,83.33,86.15,355000
2388,630,2014,1,65.8,73.4,180000
221,530,2013,1,81.0,74.0,120000
1297,464,2012,0,62.8,72.8,420000
146,405,2014,1,81.5,80.8,100000
1777,405,2013,1,67.0,72.5,85000
1053,155,2012,0,63.0,54.0,150000
1822,525,2011,0,95.8,84.3,420000
508,505,2012,0,79.0,81.0,310000
323,554,2012,0,98.2,94.0,360000
1561,620,2014,1,95.9,93.4,325000
176,370,2014,1,63.8,71.3,180000
1908,500,2014,1,79.0,85.0,200000
168,505,2010,0,82.0,86.0,200000
1400,310,2013,1,68.0,84.0,225000
2931,485,2014,1,88.75,92.4,335000
1392,355,2012,0,61.4,54.6,145000
2257,635,2012,0,90.66,92.0,600000
2177,695,2011,0,92.0,84.0,530000
2237,620,2014,1,78.0,76.17,300000
136,575,2013,1,95.5,94.16,200000
1470,500,2014,1,66.2,82.4,150000
1278,625,2010,0,89.08,93.4,415000
1973,545,2014,1,75.5,88.4,580000
894,325,2012,0,76.0,67.0,290000
197,345,2011,0,45.6,52.7,300000
2338,665,2013,1,78.0,68.0,335000
1483,515,2012,0,92.4,92.8,360000
1792,515,2011,0,66.8,73.0,200000
2084,415,2011,0,87.4,69.2,115000
767,665,2011,0,94.0,84.5,200000
2280,430,2015,1,73.0,74.0,320000
2693,430,2014,1,84.3,86.2,300000
2081,680,2014,1,72.0,88.0,325000
1112,495,2012,0,81.4,83.33,150000
2896,435,2011,0,71.0,70.83,215000
865,355,2013,1,67.0,77.5,235000
2389,605,2012,0,76.4,89.3,140000
1085,485,2014,1,61.6,78.33,325000
1447,655,2010,0,69.0,69.0,310000
199,485,2015,1,85.6,85.0,120000
429,575,2014,1,71.0,79.0,300000
1823,415,2012,0,60.5,85.0,130000
1795,215,2012,0,53.17,61.63,280000
1970,385,2014,1,83.2,77.5,180000
730,545,2011,0,80.22,80.58,810000
297,295,2014,1,73.2,70.3,200000
2121,445,2013,1,61.0,64.0,200000
807,195,2013,1,60.0,61.1,280000
2595,560,2014,1,88.9,91.3,180000
1565,605,2014,1,77.2,81.5,300000
1172,250,2013,1,76.0,83.0,200000
2853,450,2014,1,89.0,92.0,200000
2860,395,2010,0,66.5,84.6,205000
821,355,2013,1,93.5,83.33,145000
2711,390,2014,1,68.8,82.2,180000
1241,575,2014,1,89.4,93.0,300000
1563,665,2013,1,94.17,89.39,210000
2844,340,2014,1,57.33,80.8,120000
623,325,2014,1,88.3,85.3,300000
1445,530,2013,1,78.0,78.0,180000
1718,735,2013,1,73.6,73.2,410000
1162,560,2014,1,69.33,85.83,200000
2260,635,2013,1,83.6,92.3,300000
1640,585,2013,1,74.6,92.8,325000
2858,545,2013,1,81.17,84.14,300000
2603,465,2011,0,89.67,94.24,600000
2775,500,2014,1,59.2,57.5,315000
2749,475,2011,0,74.14,78.53,370000
1022,375,2012,0,56.4,81.0,205000
1750,375,2010,0,46.33,59.05,180000
291,645,2014,1,95.5,89.33,195000
2022,235,2013,1,72.0,72.0,100000
1740,355,2011,0,50.0,70.0,400000
2282,625,2012,0,59.2,75.6,360000
1007,595,2011,0,69.2,84.2,700000
67,575,2011,0,90.91,91.0,450000
24,385,2012,0,70.67,67.06,120000
216,375,2013,1,72.6,83.04,100000
1910,615,2010,0,73.67,83.67,900000
2783,544,2011,0,45.5,57.78,430000
1153,395,2012,0,52.9,64.33,100000
2159,465,2014,1,57.5,79.52,120000
166,430,2013,1,79.0,73.0,240000
207,680,2015,1,84.8,90.2,1500000
2322,435,2012,0,53.33,74.4,200000
2089,590,2014,1,84.4,94.0,400000
591,430,2014,1,76.0,78.67,110000
1176,605,2011,0,76.24,65.33,430000
1720,475,2013,1,77.1,79.5,145000
1863,620,2014,1,78.3,73.6,325000
525,400,2013,1,94.9,90.5,100000
2335,544,2010,0,82.0,88.4,755000
469,394,2012,0,68.8,89.2,180000
1350,684,2012,0,75.5,85.76,620000
2169,445,2013,1,67.0,83.2,300000
1531,310,2014,1,88.88,81.0,240000
928,445,2011,0,79.6,83.6,215000
1896,530,2013,1,63.4,66.0,180000
2721,405,2013,1,68.0,71.0,215000
1619,405,2014,1,74.5,76.5,185000
1469,560,2014,1,65.2,75.4,450000
1141,525,2012,0,65.0,76.8,250000
1913,545,2014,1,83.6,86.8,315000
956,650,2014,1,92.4,91.1,325000
1488,450,2013,1,90.7,91.3,175000
25,320,2012,0,61.0,67.0,120000
1134,425,2011,0,67.0,58.0,320000
2197,570,2014,1,84.0,70.0,325000
925,545,2013,1,86.8,71.66,180000
1552,415,2012,0,74.4,82.4,475000
2744,765,2014,1,82.0,89.0,450000
843,450,2014,1,64.0,73.0,200000
1645,615,2012,0,75.16,90.04,305000
2646,545,2012,0,76.0,72.0,240000
1020,255,2012,0,65.0,67.0,240000
2187,380,2014,1,48.0,57.14,100000
749,425,2011,0,75.0,49.0,120000
2371,450,2014,1,86.1,77.2,340000
180,385,2013,1,69.4,64.8,240000
1272,635,2012,0,93.0,91.4,515000
2498,405,2015,1,62.0,68.83,220000
1434,385,2013,1,64.0,75.0,240000
607,570,2013,1,81.3,68.3,175000
1352,605,2011,0,74.0,80.0,400000
2344,500,2014,1,72.0,74.0,320000
1904,465,2011,0,50.5,78.0,500000
1899,555,2010,0,72.2,77.2,120000
94,390,2014,1,62.0,58.0,180000
770,375,2012,0,96.7,89.0,225000
637,510,2014,1,76.83,82.25,310000
1304,470,2013,1,64.7,84.6,265000
2334,625,2011,0,81.4,88.0,650000
2536,524,2013,1,73.0,76.0,200000
2492,335,2010,0,58.0,73.0,505000
1208,415,2014,1,70.67,78.3,300000
1395,535,2014,1,66.0,87.0,320000
1578,560,2014,1,90.2,87.4,350000
1198,445,2010,0,85.6,78.3,240000
275,695,2012,0,92.6,85.3,370000
2854,645,2010,0,95.9,84.67,555000
1152,595,2012,0,97.5,90.4,500000
1206,485,2012,0,89.0,85.0,280000
2080,485,2013,1,58.0,84.8,335000
1104,595,2012,0,90.4,94.2,465000
307,435,2011,0,70.66,80.07,460000
2818,430,2014,1,85.4,85.3,35000
2059,575,2011,0,68.2,68.0,395000
872,590,2013,1,79.23,74.0,200000
86,500,2013,1,91.1,88.1,315000
2826,525,2012,0,81.0,81.0,385000
2753,595,2011,0,67.0,84.0,150000
2830,655,2014,1,87.0,96.0,325000
1435,535,2010,0,85.0,82.0,410000
2610,385,2012,0,58.4,56.0,190000
209,570,2014,1,84.5,83.68,500000
2787,530,2014,1,69.6,79.6,200000
1966,554,2013,1,74.0,83.46,650000
2642,535,2012,0,62.8,75.0,360000
1987,575,2013,1,73.0,75.0,120000
2171,750,2014,1,82.0,90.16,300000
2782,295,2012,0,79.0,77.0,150000
931,635,2013,1,68.2,65.5,120000
2146,825,2013,1,73.0,86.0,450000
2425,615,2012,0,90.6,86.5,560000
130,575,2011,0,86.25,89.2,180000
1723,684,2012,0,80.6,89.4,800000
2071,560,2014,1,76.6,82.0,145000
954,510,2013,1,69.2,79.4,65000
555,575,2013,1,69.4,68.6,300000
2418,585,2013,1,83.0,86.15,335000
1930,554,2010,0,66.0,65.0,450000
1536,585,2012,0,86.5,87.52,630000
2431,570,2013,1,72.67,79.67,100000
201,545,2014,1,80.8,88.2,325000
2023,645,2014,1,65.0,77.0,250000
368,560,2013,1,62.0,73.0,260000
973,370,2014,1,76.5,78.8,95000
1634,800,2014,1,60.17,83.6,315000
2435,445,2014,1,76.0,86.92,340000
816,455,2012,0,71.0,74.0,145000
1954,565,2012,0,67.2,76.8,350000
1316,390,2013,1,67.5,81.38,120000
1905,705,2012,0,80.6,78.2,415000
256,270,2014,1,43.42,70.0,180000
1472,575,2011,0,77.8,88.2,400000
1699,445,2011,0,65.0,74.0,360000
2217,535,2014,1,64.0,64.2,200000
1605,415,2014,1,90.91,87.8,150000
1329,214,2011,0,59.0,52.0,255000
560,525,2011,0,65.0,68.0,500000
1877,545,2013,1,86.6,91.6,200000
373,395,2011,0,51.0,51.0,180000
2767,500,2012,0,87.0,88.3,300000
2839,615,2012,0,90.4,91.0,405000
1684,320,2013,1,49.0,53.0,185000
1167,430,2013,1,68.0,69.69,100000
2024,795,2012,0,78.8,83.0,450000
1204,650,2014,1,80.4,85.6,275000
972,570,2012,0,89.75,89.6,190000
1155,410,2013,1,63.0,87.4,775000
2036,510,2014,1,61.57,73.37,100000
2961,750,2013,1,79.0,87.4,250000
1071,620,2014,1,49.6,54.6,180000
774,295,2013,1,61.5,67.75,70000
324,485,2014,1,69.3,79.0,180000
2251,355,2012,0,57.5,54.5,360000
84,645,2011,0,58.0,71.0,410000
2681,500,2013,1,53.0,72.0,360000
1589,470,2013,1,63.0,64.66,105000
2659,665,2010,0,78.5,82.13,630000
2446,690,2014,1,75.2,86.8,260000
1920,545,2011,0,86.0,79.4,530000
91,285,2013,1,60.0,72.0,295000
430,355,2015,1,56.0,56.0,200000
2827,215,2012,0,91.3,87.0,400000
2339,590,2013,1,62.0,82.0,350000
2105,280,2014,1,91.25,81.4,150000
1345,545,2013,1,75.85,78.0,325000
257,715,2011,0,86.46,84.67,730000
888,595,2014,1,64.8,68.0,120000
2956,565,2012,0,68.0,67.0,240000
1466,620,2014,1,74.8,85.8,325000
1641,515,2013,1,52.0,79.6,160000
388,530,2013,1,91.0,73.0,290000
2383,595,2014,1,64.1,64.2,300000
273,655,2013,1,91.0,88.2,350000
756,455,2012,0,81.5,90.24,90000
1925,415,2014,1,65.0,70.0,240000
1956,470,2013,1,60.0,87.0,300000
2946,410,2014,1,57.8,70.0,200000
2176,495,2012,0,63.0,57.0,105000
802,735,2013,1,85.4,73.0,395000
2076,605,2010,0,72.4,85.2,450000
1207,705,2012,0,97.4,85.3,425000
2930,445,2013,1,79.0,87.0,340000
2558,705,2013,1,92.0,87.0,500000
2723,485,2015,1,64.4,71.6,95000
151,555,2012,0,83.0,84.0,450000
2292,395,2012,0,66.0,75.0,60000
714,635,2012,0,81.0,80.0,335000
2591,485,2012,0,72.0,81.9,325000
544,750,2012,0,77.8,77.6,180000
639,555,2011,0,73.0,82.0,430000
2745,735,2013,1,61.6,54.8,145000
423,500,2013,1,60.5,80.8,150000
2958,325,2011,0,70.0,80.0,630000
659,595,2012,0,88.0,91.0,375000
797,405,2012,0,95.3,93.5,300000
2971,605,2014,1,82.0,88.8,320000
2008,415,2013,1,81.0,88.0,100000
99,645,2014,1,75.6,92.2,325000
2898,475,2013,1,77.4,84.2,165000
2496,545,2014,1,60.42,82.87,300000
1871,565,2011,0,87.66,91.8,400000
2046,500,2014,1,86.0,94.0,200000
755,475,2013,1,71.25,74.3,225000
976,455,2013,1,72.5,80.0,120000
2163,325,2012,0,81.42,82.7,140000
1940,455,2013,1,49.67,64.57,95000
2825,605,2011,0,91.8,88.3,460000
2120,650,2011,0,78.4,82.8,110000
2893,495,2011,0,60.1,58.0,180000
537,544,2012,0,82.6,72.3,295000
1701,310,2013,1,78.0,81.2,120000
2897,425,2012,0,63.0,80.2,305000
2222,500,2013,1,60.36,70.58,100000
2135,555,2010,0,70.6,74.4,300000
2599,545,2014,1,76.6,78.0,325000
705,615,2012,0,68.6,85.4,250000
2362,575,2012,0,75.0,87.0,420000
2648,650,2014,1,69.8,93.6,115000
2647,485,2012,0,83.0,80.0,420000
1828,445,2013,1,78.0,79.5,360000
1778,575,2014,1,73.6,82.8,325000
277,595,2014,1,80.4,79.4,320000
1033,515,2012,0,71.0,80.0,450000
1731,605,2012,0,64.0,64.0,200000
763,500,2014,1,75.0,85.0,200000
835,295,2013,1,84.4,87.0,360000
1653,740,2014,1,78.0,72.12,345000
2607,545,2013,1,56.8,56.5,100000
2732,645,2012,0,53.44,75.71,310000
